"title","seasons","episodes","rating","year","genres","description","link","image"
"Assault Lily BOUQUET","2","24","84","2020","Action | Fantasy | Magic","On Earth in the near future, humanity faced imminent destruction from mysterious giant creatures known as ""Huge.""","https://www.wakanim.tv/sc/v2/catalogue/show/1102/-assault-lily-bouquet","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372454521280928Assault-Lily-Bouquet_Small.jpg"
"18if","2","26","100","2017","Drama | Horror | Supernatural","Haruto wakes up to find himself trapped in dream world. But while he searches for an exit, he'll have to face powerful witches!","https://www.wakanim.tv/sc/v2/catalogue/show/826/18if","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/243_63720665667252805818-If_Small.jpg"
"2.43: Seiin High School Boys Volleyball Team","2","24","92","2021","Drama | Slice of Life | Sport","After everything that’s happened, can the ace pair be reunited? Genius setter Kimichika Haijima and team ace Yuni Kuroba were a duo on and off the volleyball court.","https://www.wakanim.tv/sc/v2/catalogue/show/1215/243-seiin-high-school-boys-volleyball-team","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/31_637452789867324573243_Small.jpg"
"22/7","1","13","74","2020","Music | Slice of Life","One day, Miu Takigawa suddenly receives a letter notifying her that she has been chosen as a member of a brand-new project.","https://www.wakanim.tv/sc/v2/catalogue/show/650/227","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/91_637141819584997499227_Small.png"
"A Good Librarian Like a Good Shepherd","1","12","72","2014","Magic | Romance","Kyotaro is better with books than girls, but a text message from the mysterious “Shepherd” hints that his fate will soon be changing.","https://www.wakanim.tv/sc/v2/catalogue/show/718/a-good-librarian-like-a-good-shepherd","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/243_637206658658242835Librarian-Shepherd_Small.jpg"
"A Sister's All You Need","2","24","96","2017","Comedy | Ecchi | Romance | Slice of Life","The only source of stability in novelist Itsuki Hashima’s life is his younger stepbrother, Chihiro. But even he has a secret of his own.","https://www.wakanim.tv/sc/v2/catalogue/show/827/a-sisters-all-you-need","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/242_637181375173264097Sisters-all-you-need_Small.jpg"
"A3!","4","48","96","2020","Comedy | Music | Slice of Life","In a city called Veludo in the suburbs of Tokyo, there is a street called ""Veludo way"". Many theatre troupes are based there, making it a mecca for comedians.","https://www.wakanim.tv/sc/v2/catalogue/show/627/a3","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/285_637262738920680652A3_Small.jpg"
"Absolute Duo","2","24","60","2015","Action | Adventure | Ecchi | Fantasy | Magic | Romance | Supernatural","After a traumatic accident takes his loved one, Tor enrolls at Koryo Academy, a school where every student's soul manifests as a weapon.","https://www.wakanim.tv/sc/v2/catalogue/show/726/absolute-duo","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/123_637196333172824279Absolute-Duo_Small.jpg"
"Adachi and Shimamura","2","24","78","2020","Romance | Slice of Life","Known for skipping class on the regular, two girls’ lives become intertwined when they find each other on the second floor of the school gym.","https://www.wakanim.tv/sc/v2/catalogue/show/1069/adachi-and-shimamura","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372525155789011Adachi-Shimamura_Small.jpg"
"AFTERLOST","2","24","66","2019","Adventure | Drama | Sci-Fi | Supernatural","One day, a city suddenly disappears. Takuya, a courier and lone wolf, meets Yuki, the only survivor from the catastrophe. When they receive a message from Yuki’s father, whom she lost contact with, they decide to head towards the disappeared city.","https://www.wakanim.tv/sc/v2/catalogue/show/494/afterlost","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/216_636967461958706283After-Lost_Small.png"
"Akashic Records of Bastard Magic Instructor","2","24","80","2017","Action | Comedy | Ecchi | Magic","The new teacher at a magical academy doesn’t seem to care about anything until a threat to the school shows a whole new side of him.","https://www.wakanim.tv/sc/v2/catalogue/show/833/akashic-records-of-bastard-magic-instructor","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/242_637181484361956011Akashic_Small.jpg"
"Akebi's Sailor Uniform","2","24","76","2022","Slice of Life","Akebi Komichi has been admitted to a prestigious all-girls college. She has two wishes for the school year: to wear the school's sailor uniform and make friends with her new classmates!","https://www.wakanim.tv/sc/v2/catalogue/show/1661/akebis-sailor-uniform","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/3112_637765609050689523ASU_Small.jpg"
"Akiba's Trip: The Animation","2","26","100","2017","Action | Adventure | Comedy | Ecchi | Supernatural","After being attacked by a vampire, Tamotsu Denkigai is stuck in Akihabara fighting to keep the streets safe.","https://www.wakanim.tv/sc/v2/catalogue/show/834/akibas-trip-the-animation","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/242_637181514367732663Akiba-Strip_Small.jpg"
"Akudama Drive","2","24","92","2020","Action | Sci-Fi","A long time ago, the Kanto and Kansai groups faced off in Japan, dividing the country in two.","https://www.wakanim.tv/sc/v2/catalogue/show/1062/akudama-drive","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372256448376532Akudama_Drive_Small.jpg"
"All Out!!","4","50","0","2016","Comedy | Seinen | Sport","Kenji Gion and Sumiaki Iwashimizu take to the field with the rugby club, ready to prove they have what it takes and go all out!","https://www.wakanim.tv/sc/v2/catalogue/show/837/all-out","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/252_637182227251384289All-Out_Small.jpg"
